,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8
Link_66,73.28036333561933,21.712333691847164,73.28036337672324,2.7617971385671484e-07,8.327261214844999,1.1167549651426238e-05,13.38507318005616,55.01007875117925
Link_67,120.9639488942982,143.9877016170752,143.9877083544816,2.1429506594234893e-06,2.3707228832888943e-06,14.40399424884054,14.403998701269725,95.15806799139904
Link_68,76.135457849806,76.13545484603472,76.13545787276838,7.225653424753671e-08,74.47714004641084,5.650076135759862e-07,18.47662312162042,1.529962930786346e-06
Link_69,65.25420461127491,78.44865091219854,78.44865081918591,43.40212016804605,8.75930612521461e-07,7.0882829857944085e-06,13.385069464001944,43.402124633827334
Link_70,74.99999986580241,14.038197102754504,74.99999996321169,1.2965475314014217e-07,20.42229307847057,13.258623162845002,14.038195709788608,33.789613202956325
Link_71,73.87185895408456,70.99805969202114,73.8718590066135,1.5933900292418711e-06,7.957635435186579,6.812255713851073,67.11169944972205,62.892029368069586
Link_72,74.9999998560589,14.038192194096268,74.9999999395346,5.147598308550233e-07,3.5093021649454084e-06,11.54044272546987,8.677566237856855e-06,59.9840742421076
Link_73,36.16137476083525,76.17762640827304,76.17762646226991,1.4947107704978994e-07,20.7919156102713,23.65547091516083,76.17762645081453,2.754587130851958e-06
Link_74,76.36883416936459,76.36884208525662,76.36884224158175,2.3876052944454726e-07,72.19406181490152,73.11446058561212,73.11446900532948,0.9204094566107457
Link_75,73.28036339094884,21.712328912517442,73.2803633762305,2.2373041095956298e-07,23.655467982555976,15.328221274539617,15.328226697545427,21.712326864746665
Link_76,36.16137470048925,76.17762647549475,76.17762644460004,1.6527610986983528e-06,8.327259919863014,8.327260713744904,76.17762646602502,36.161372889383216
