,Basis_Action_1,Basis_Action_2,Basis_Action_3,Basis_Action_4,Basis_Action_5,Basis_Action_6,Basis_Action_7,Basis_Action_8
35,16.74202332084032,16.74202251626395,50.24845611387088,3.338830238980358e-08,13.87844648036527,16.7420224028482,16.74201924831643,3.932860524300868
36,2.8636182442167475,2.8636196839450703,4.174837210482762,2.8102432371152173e-08,2.863557899171628,2.6964990059199513e-07,2.863618151655421,2.8636180036298904
37,0.9204668032150886,0.9204675016282937,0.9204677127794989,5.188064993048503e-08,5.412984028424709e-06,5.602084607383391e-06,0.920467322135697,1.744371564776417e-07
38,4.174767403989047,4.174767597757913,4.174771629278189,3.506905084461989e-08,2.863552770677586,0.9203965329262916,2.8635529186734896,3.784019468403462
39,12.081509277696668,32.2284809778311,32.228481180816225,2.1330092756506856e-08,8.362481686133388e-08,32.228481099287805,10.010998493309682,3.5205443595691084
40,8.944114063498045,8.944120814521888,40.23706756290766,2.05532349208083e-06,4.23835142040954e-08,3.011985405071954e-06,40.237067430387874,8.944113956581315
41,71.37411127940929,17.924538105927876,17.924538245567216,2.8035077072995175e-07,1.0071205330814553e-07,17.924537948347826,1.2534162577437175e-06,1.1865670269015304e-06
42,34.10550080702144,34.10550102646208,34.105501134207664,1.9025364849416887e-06,4.223576555241339e-08,9.315248754912826,132.88218949995255,2.0489294827094215e-07
43,76.91288071492733,8.849086398506621,8.849086917106852,3.465246595248501e-07,4.271406378358461e-08,8.84908630550333,1.3947657826919265e-05,9.316679879630249e-07
44,16.46764188013533,4.650897669515503e-06,16.46764202577852,2.7513047130688073e-08,3.142693353497374e-07,2.297441324898455e-06,16.467641366814878,4.556409261058725e-06
45,8.077354791289657e-06,141.86683333991456,27.10844067114694,2.7125456303051557e-08,1.578667928292556e-06,2.0486341974879897e-06,2.1249316158649127e-06,27.108440640338547
46,39.72267327327923,39.72267411532461,39.72267444430083,39.72267407871399,12.148305369842458,2.7245549436848656e-08,12.14830525831816,1.812134792574389e-07
47,8.136594033696103e-07,9.199481047274218e-07,9.795408037984262e-07,2.0442385550408566e-08,1.1011232597216125e-07,4.2518852344872566e-07,2.4791436027838007e-07,6.62165505451361e-07
