,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_14,12.844464304809303,14.09491801260159,5.422471095889072,4.470230487626698,14.094918039984615,12.844464303892385,14.094918042754786,5.422471110551999,2.5455181142935466,5.422471116046874
Link_15,12.594492236278796,8.809762485821565,5.1724990326514915,5.172499026658193,8.809762478142343,8.809762473439394,11.059256661955612,8.809762476742165,5.172499026269657,11.059256662183937
Link_16,2.5259518430214762,12.44626876589347,2.525951841589563,8.619025649140546,9.7236100558255,1.2864223632104805,13.717412937946897,8.634303835637976,8.634303831552028,6.3379167611618925
Link_17,22.22020919337053,23.525433928280698,11.762716931196168,15.12745240514014,19.436818838038004,3.330817182676802e-09,23.525433929456796,15.12745240035676,1.303450556734152e-10,15.127452433478759
Link_18,70.078482655595,36.53520374509496,1.429993984818576,1.924231358967728e-08,36.40326683166994,35.16373735950891,70.21041956899973,36.403266827198664,2.758349804486086e-08,70.21041956038576
Link_19,2.798805191101716,7.908398521913764,1.6377413668002263,1.5920752332685328,8.860264292647646,1.637741354569244,13.705484451351928,2.7988051895201176,1.6224631650311376,8.860264295852724
Link_20,23.52543392351004,21.590692416919552,13.192710908743571,15.127452423088194,15.127452423681687,0.190464515901825,23.52543392908007,13.192710907044342,2.1288722489069197e-08,15.127452424545288
Link_21,15.150579467616293,9.514797793442828,6.504586784545733,6.5045867827552915,9.514797791662538,6.504586783430741,14.172229470580396,9.514797790065042,1.2711441567919914,6.504586787166206
Link_22,7.855091073198235,13.931278434321609,6.362544560362384,7.568733879356473,9.066829275383427,4.113050391338795,15.13746774638873,11.68178425879674,11.681784259398484,4.3994076084531955
Link_23,19.902226150090655,28.084936165096405,19.90222613076906,3.788518927499227e-10,21.985594722980196,22.138372214655085,29.407587907668706,14.7163790308032,19.902226130565992,27.324219329861705
Link_24,11.707703510149821,5.89602083220554,4.580965324794122,0.4679149113006837,4.580965329362088,4.58096532473511,15.150579466084366,4.598392379357939,4.56568711099954,4.598392390456423
Link_25,31.25790150148523,28.41599528025011,24.631265539653047,9.954796048310723,37.96263552164503,14.46967455807922,37.57669761826742,24.631265543258078,4.692518904088892,28.415995285515322
Link_26,25.139244896889462,27.618749955534568,25.13924489703947,1.2421281480694205e-08,36.221120730201825,20.87368262963115,41.74736525890446,15.637962114003665,14.078545304399572,27.618749956486326
Link_27,12.86705337326823,24.388739439458753,12.867053351274603,8.74534218314538,16.63416671230091,12.66346638852961,24.277998518164935,22.983628213934274,4.49748723031785,22.993805304794776
Link_28,24.719699691148513,28.802383912061046,9.261685773046066,1.1876038632022297e-09,20.849535346546244,14.161838429443655,40.536004642269106,13.331958149514255,9.261685767632986,19.507707630280382
Link_29,14.564753150310878,12.553640358573539,11.84267915211795,5.730794541391957,6.441755749961383,7.282376575867037,7.2823765795029365,10.21481649993763,1.1068376290680639e-10,13.72413231398956
Link_30,9.485216379844449,11.342641665424601,12.10017134945639,4.609905308569541,13.957596635371573,4.60990530859363,14.980532081310166,6.467330596529402,4.875311069629146,14.980532062780402
Link_31,14.726480177060818,14.726480180702534,7.363240101899952,7.363240084134659,14.726480179178246,7.3632400845440635,14.72648018182007,14.726480176210842,1.9837948965699161,14.726480180434324
